time,Open,High,Low,Close,Volume,Market Spread,Change,MA(5days),MA(20days),MA(50days),MA(88days),MA(100days),MA(200days),EMA(5days),STD(5days),EMA(20days),STD(20days),EMA(50days),STD(50days),EMA(100days),STD(100days),MACD0,MACD1,MACD2,MACD3,MACD4,MACD5,Bollinger Upper,Bollinger Lower
3/14/2021,61181.38,61680,58950,58972.7,43901225564,2730,-0.03605515,58216.654,51369.3655,46074.9028,39716.88932,37240.2144,25231.03725,57963.45238,1993.537565,52986.62561,4676.439735,47052.20554,8399.965139,39334.02191,11842.35183,4976.826762,10911.24684,18629.43047,5934.420076,13652.60371,7718.183631,60722.24497,42016.48603
3/15/2021,58972.71,60601.07,54568,55636.15,66419369890,6033.07,-0.056577874,58165.746,51706.1735,46541.8546,40089.72648,37604.9863,25452.5677,57187.68492,2069.583432,53238.96127,4731.48205,47388.83081,8265.817618,39656.83633,11841.57255,3948.723648,9798.854107,17530.84859,5850.130459,13582.12494,7731.994486,61169.1376,42243.2094
3/16/2021,55629.08,56970,53221,56927.11,59749798599,3749,0.023203619,57988.074,52065.638,47035.1594,40473.69636,37980.5014,25679.52825,57100.82661,2143.967787,53590.21353,4845.784893,47762.88098,8131.108557,39998.82194,11853.05399,3510.613082,9337.945636,17102.00467,5827.332555,13591.39159,7764.059033,61757.20779,42374.06821
3/17/2021,56924.26,58996.38,54138.01,58925.54,60258313191,4858.37,0.035105067,58328,52658.991,47563.4538,40872.28216,38377.9797,25916.7844,57709.06441,2127.592043,54098.33986,4926.278951,48200.63231,8025.598533,40373.60844,11882.56714,3610.724547,9508.432098,17335.45597,5897.707551,13724.73142,7827.023871,62511.5489,42806.4331
3/18/2021,58925.54,60100,56996.15,57644.95,55746041000,3103.85,-0.021732342,57621.29,53224.9285,48108.2102,41260.55989,38771.267,26146.4291,57687.69294,1409.84073,54436.11225,4809.235097,48570.99771,7757.235598,40715.6152,11862.69053,3251.580684,9116.695229,16972.07774,5865.114545,13720.49705,7855.382507,62843.39869,43606.45831
3/19/2021,57644.95,59461.99,56260,58039.66,49063873786,3201.99,0.006847261,57434.682,53817.874,48599.2236,41661.81284,39166.1981,26378.3524,57805.01529,1237.458613,54779.30728,4622.460062,48942.3178,7588.145816,41058.66559,11839.94862,3025.708014,8862.697493,16746.3497,5836.989479,13720.64168,7883.652205,63062.79412,44572.95388
3/20/2021,58026.91,59928,57827.97,58116.7,50361731222,2100.03,0.001327368,57930.792,54462.1215,49076.3154,42051.51091,39564.8307,26609.3148,57908.91019,728.8725567,55097.1542,4245.324898,49302.09749,7416.29011,41396.44845,11799.73516,2811.755991,8606.812702,16512.46174,5795.056711,13700.70575,7905.64904,62952.7713,45971.4717
3/21/2021,58126.34,58651.22,55543.89,57363.32,51943414539,3107.33,-0.012963227,58018.034,54848.3175,49537.2692,42439.4083,39958.0424,26839.154,57727.0468,591.9484556,55312.97952,4133.357558,49618.22387,7193.022813,41712.62413,11730.2338,2414.067279,8108.822931,16014.42267,5694.755652,13600.35539,7905.599738,63115.03262,46581.60238
3/22/2021,57377.29,58421.68,53739.5,54110.07,56521454974,4682.18,-0.05671307,57054.94,55128.241,49956.7158,42784.77318,40310.9303,27058.84175,56521.38786,1674.251857,55198.41671,3862.315413,49794.37469,6818.953865,41958.11811,11618.21293,1322.971158,6727.01317,14563.26976,5404.042012,13240.2986,7836.256589,62852.87183,47403.61017
3/23/2021,54111.49,55858,53000,54345.54,56435023914,2858,0.004351685,56395.058,55327.518,50372.9628,43121.6008,40662.7192,27278.0692,55796.10524,2001.748761,55117.19035,3702.875119,49972.85177,6419.47763,42203.41359,11503.5429,678.9148893,5823.253477,13592.69165,5144.338588,12913.77677,7769.438177,62733.26824,47921.76776
3/24/2021,54333.27,57209.97,51673.82,52276.16,70567223787,5536.15,-0.038078194,55242.358,55522.9,50708.2326,43414.79182,40992.7571,27488.6082,54622.79016,2431.306796,54846.61603,3407.685191,50063.17758,6054.933095,42402.87391,11356.14945,-223.8258723,4559.612583,12219.91625,4783.438456,12443.74212,7660.303665,62338.27038,48707.52962
3/25/2021,52259.69,53238,50305,51325.01,67999812841,2933,-0.018194718,53884.02,55650.677,50981.1654,43699.63682,41311.5612,27693.94395,53523.53011,2318.586518,54511.22498,3181.533669,50112.6612,5755.790348,42579.54988,11191.4107,-987.6948754,3410.868905,10943.98023,4398.56378,11931.67511,7533.111327,62013.74434,49287.60966
3/26/2021,51320.76,55125.13,51250,55072.44,56652197978,3875.13,0.073013722,53425.844,55958.807,51343.1142,44018.18318,41648.6891,27917.43115,54039.83341,1562.094838,54564.67403,2765.554726,50307.16233,5416.042903,42826.93384,11091.64631,-524.8406273,3732.671073,11212.89957,4257.5117,11737.74019,7480.228494,61489.91645,50427.69755
3/27/2021,55080.9,56640,53966,55856.53,47266542233,2674,0.01423743,53775.136,56202.703,51694.015,44341.93523,41978.9896,28146.08535,54645.39894,1909.882577,54687.70793,2506.160401,50524.78459,5114.472543,43084.94564,11017.02746,-42.30899736,4120.614343,11560.45329,4162.92334,11602.76229,7439.83895,61215.0238,51190.3822
3/28/2021,55856.54,56587.08,54701,55778.82,47686580918,1886.08,-0.001391243,54061.792,56370.8825,52024.2828,44647.40568,42305.4002,28373.85665,55023.20596,2113.595064,54791.62337,2346.385769,50730.8252,4820.228858,43336.30949,10936.41102,231.5825888,4292.38076,11686.89647,4060.798171,11455.31388,7394.515706,61063.65404,51678.11096
3/29/2021,55781.22,58400,54900,57613.48,57625587027,3500,0.032891696,55129.256,56505.7375,52399.124,44972.67159,42643.0351,28610.2079,55886.63064,2323.668728,55060.37162,2335.873002,51000.73323,4494.240612,43619.02574,10881.93709,826.259019,4885.897409,12267.6049,4059.63839,11441.34588,7381.707489,61177.4835,51833.9915
3/30/2021,57613.76,59397.48,57000,58786.46,54414116432,2397.48,0.020359471,56621.546,56650.526,52645.8912,45306.46273,42996.1346,28852.16815,56853.24043,1530.192119,55415.23718,2384.973667,51306.05585,4499.547386,43919.37097,10826.46658,1438.003246,5547.184578,12933.86945,4109.181332,11495.86621,7386.684875,61420.47333,51880.57867
3/31/2021,58786.46,59800,56873.8,58800,65520826225,2926.2,0.000230325,57367.058,56699.7525,52891.5966,45608.44102,43356.8406,29093.93555,57502.16028,1494.401502,55737.59554,2420.184502,51599.93601,4493.336943,44214.03689,10744.99472,1764.56474,5902.224273,13288.12339,4137.659533,11523.55865,7385.899116,61540.1215,51859.3835
4/1/2021,58800.01,59474.94,57930,58726.48,61669163792,1544.94,-0.00125034,57941.048,56774.781,53169.1262,45899.8708,43705.8727,29335.88415,57910.26686,1308.811879,56022.25121,2460.282018,51879.40832,4414.357886,44501.41201,10670.69968,1888.01565,6030.858532,13408.85485,4142.842882,11520.8392,7377.996319,61695.34504,51854.21696
4/2/2021,58726.47,60055.02,58441.88,58981.04,58727860620,1613.14,0.004334672,58581.492,56664.908,53388.7888,46206.24636,44063.3996,29577.3896,58267.19124,549.4235579,56304.04061,2296.91052,52157.90368,4425.034311,44788.13731,10576.19711,1963.150622,6109.287553,13479.05393,4146.136931,11515.9033,7369.766372,61258.72904,52071.08696
4/3/2021,58981.04,59752,56943,57094.34,59641344484,2809,-0.031988246,58477.664,56570.99,53582.5088,46468.33386,44397.1634,29808.94255,57876.24082,779.1241164,56379.30722,2235.152849,52351.48942,4369.547854,45031.82449,10453.58536,1496.933602,5524.751403,12844.41633,4027.817801,11347.48273,7319.664928,61041.2957,52100.6843
